region_id,Label,Area sqkm
CED101,"Banks, NSW",44.6388
CED102,"Barton, NSW",40.3341
CED103,"Bennelong, NSW",58.6107
CED104,"Berowra, NSW",745.688
CED105,"Blaxland, NSW",60.7705
CED106,"Bradfield, NSW",96.8595
CED107,"Calare, NSW",30672.6
CED108,"Charlton, NSW",575.626
CED109,"Chifley, NSW",136.141
CED110,"Cook, NSW",68.0838
CED111,"Cowper, NSW",8557.82
CED112,"Cunningham, NSW",1186.88
CED113,"Dobell, NSW",713.159
CED114,"Eden-Monaro, NSW",29412.33
CED115,"Farrer, NSW",249551.66
CED116,"Fowler, NSW",72.1554
CED117,"Gilmore, NSW",4917.16
CED118,"Grayndler, NSW",31.6708
CED119,"Greenway, NSW",83.282
CED120,"Hughes, NSW",172.732
CED121,"Hume, NSW",34563.57
CED122,"Hunter, NSW",19092.84
CED123,"Kingsford Smith, NSW",57.6591
CED124,"Lindsay, NSW",349.105
CED125,"Lyne, NSW",11683.71
CED126,"Macarthur, NSW",737.768
CED127,"Mackellar, NSW",212.293
CED128,"Macquarie, NSW",3616.07
CED129,"McMahon, NSW",158.918
CED130,"Mitchell, NSW",98.4419
CED131,"New England, NSW",58967.34
CED132,"Newcastle, NSW",309.707
CED133,"North Sydney, NSW",44.087
CED134,"Page, NSW",16189.11
CED135,"Parkes, NSW",256860.42
CED136,"Parramatta, NSW",55.7041
CED137,"Paterson, NSW",6547.12
CED138,"Reid, NSW",56.2396
CED139,"Richmond, NSW",2771.26
CED140,"Riverina, NSW",58754.29
CED141,"Robertson, NSW",890.395
CED142,"Shortland, NSW",187.922
CED143,"Sydney, NSW",44.7628
CED144,"Throsby, NSW",1082.96
CED145,"Warringah, NSW",53.5672
CED146,"Watson, NSW",41.7548
CED147,"Wentworth, NSW",29.9057
CED148,"Werriwa, NSW",153.659
CED194,No Usual Address (NSW),0
CED197,Migratory - Offshore - Shipping (NSW),0
CED201,"Aston, Vic",99.8284
CED202,"Ballarat, Vic",4627.34
CED203,"Batman, Vic",53.4711
CED204,"Bendigo, Vic",7584.81
CED205,"Bruce, Vic",68.116
CED206,"Calwell, Vic",503.829
CED207,"Casey, Vic",406.444
CED208,"Chisholm, Vic",60.758
CED209,"Corangamite, Vic",7561.57
CED210,"Corio, Vic",816.771
CED211,"Deakin, Vic",61.4455
CED212,"Dunkley, Vic",149.966
CED213,"Flinders, Vic",1952.54
CED214,"Gellibrand, Vic",91.2396
CED215,"Gippsland, Vic",33059.86
CED216,"Goldstein, Vic",48.8627
CED217,"Gorton, Vic",141.971
CED218,"Higgins, Vic",38.7885
CED219,"Holt, Vic",168.191
