"E_div_numb","Elect_div","Numccds","Actual","Projected","Total_Popu","Australian","Area_SqKm","Sortname","DIV_NUMBER","ELECT_DIV","NUMCCDS","ACTUAL","PROJECTED","POPULATION","OVER_18","AREA_SQKM","SORTNAME","GEODB_OID","OBJECTID","MAP_SYMBOL","MAP_TYPE","LENGTH","SHAPE_AREA"
1,"Canberra",489,138233,146643,0,0,1967.229702033,"Canberra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Fenner",440,131391,142251,0,0,458.5142833239,"Fenner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"Banks",370,0,0,0,0,53.007212355657,"Banks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"Barton",380,0,0,0,0,39.608255317977,"Barton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Bennelong",357,0,0,0,0,60.265557340261,"Bennelong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"Berowra",392,0,0,0,0,786.40134002481,"Berowra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"Blaxland",406,0,0,0,0,61.071030977806,"Blaxland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"Bradfield",357,0,0,0,0,101.37936149876,"Bradfield",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"Calare",453,0,0,0,0,32666.202795237,"Calare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"Chifley",387,0,0,0,0,125.94218267579,"Chifley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"Cook",357,0,0,0,0,93.822495529488,"Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"Cowper",464,0,0,0,0,7296.1359495466,"Cowper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
