"","DivisionID","DivisionNm","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","State","Total_OrdinaryVotes_in_electorate"
"1",101,"Canberra",999,"Informal","Informal",999,"N","N","","Informal","ACT",4386
"2",101,"Canberra",24118,"MAHER","Damien",4,"N","N","BTA","Bullet Train For Australia","ACT",4166
"3",101,"Canberra",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party","ACT",42947
"4",101,"Canberra",24238,"BURT","Nicolle",6,"N","N","SPA","Secular Party of Australia","ACT",1074
"5",101,"Canberra",24239,"HANLEY","Tony",3,"N","N","PUP","Palmer United Party","ACT",3370
"6",101,"Canberra",24857,"SEFTON","Tom",1,"N","N","LP","Liberal","ACT",39011
"7",101,"Canberra",24895,"MELROSE","Julie",2,"N","N","GRN","The Greens","ACT",12858
"8",102,"Fraser",999,"Informal","Informal",999,"N","N","","Informal","ACT",4437
"9",102,"Fraser",24135,"HUGGINS","Sam",6,"N","N","BTA","Bullet Train For Australia","ACT",4505
"10",102,"Fraser",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party","ACT",50591
"11",102,"Fraser",24246,"ALCAZAR","Freddy Alejandro",4,"N","N","PUP","Palmer United Party","ACT",2775
"12",102,"Fraser",24251,"ROSS","Jill Elizabeth",5,"N","N","RUA","Rise Up Australia Party","ACT",1353
"13",102,"Fraser",24865,"LEE","Elizabeth",2,"N","N","LP","Liberal","ACT",35162
"14",102,"Fraser",24890,"VERWEY","Adam",7,"N","N","GRN","The Greens","ACT",15583
"15",102,"Fraser",24908,"CHURCHILL","Darren Mark",1,"N","N","DEM","Australian Democrats","ACT",2122
"16",103,"Banks",999,"Informal","Informal",999,"N","N","","Informal","NSW",8225
"17",103,"Banks",23182,"COLEMAN","David",8,"Y","N","LP","Liberal","NSW",33135
"18",103,"Banks",23257,"SPIGHT","Paul",5,"N","N","GRN","The Greens","NSW",3323
"19",103,"Banks",23964,"HADDAD","Robert Michael",7,"N","N","DLP","Democratic Labour Party (DLP)","NSW",339
"20",103,"Banks",24115,"WELLHAM","Jake John",2,"N","N","PUP","Palmer United Party","NSW",1703
"21",103,"Banks",24568,"MELHAM","Daryl",1,"N","Y","ALP","Australian Labor Party","NSW",28900
"22",103,"Banks",24575,"FALANGA","Mark",6,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1608
"23",103,"Banks",24607,"RICHARDSON","Ross",4,"N","N","KAP","Katter's Australian Party","NSW",414
"24",103,"Banks",24777,"KHEDR","Sayed",3,"N","N","IND","Independent","NSW",587
"25",104,"Barton",999,"Informal","Informal",999,"N","N","","Informal","NSW",9866
"26",104,"Barton",23183,"VARVARIS","Nickolas",2,"Y","N","LP","Liberal","NSW",27926
"27",104,"Barton",23220,"BROOKER","Jackie",7,"N","N","GRN","The Greens","NSW",3701
"28",104,"Barton",24129,"CARUANA","Edward",1,"N","N","PUP","Palmer United Party","NSW",2572
"29",104,"Barton",24550,"McMAHON","Steve",5,"N","N","ALP","Australian Labor Party","NSW",27425
"30",104,"Barton",24554,"FRENCH","Kylie Mary",6,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1251
"31",104,"Barton",24555,"THEO","Perry",4,"N","N","ON","One Nation","NSW",525
"32",104,"Barton",24559,"WYSE","Rodney Tim",8,"N","N","KAP","Katter's Australian Party","NSW",458
"33",104,"Barton",24923,"NAGI","Michael",3,"N","N","IND","Independent","NSW",2731
