2013 Federal Election House of Representatives Members Elected [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:35 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
DivisionID,DivisionNm,StateAb,CandidateID,GivenNm,Surname,PartyNm,PartyAb
179,Adelaide,SA,23971,Kate,ELLIS,Australian Labor Party,ALP
197,Aston,VIC,23474,Alan,TUDGE,Liberal,LP
198,Ballarat,VIC,23305,Catherine,KING,Australian Labor Party,ALP
103,Banks,NSW,23182,David,COLEMAN,Liberal,LP
180,Barker,SA,23648,Tony,PASIN,Liberal,LP
104,Barton,NSW,23183,Nickolas,VARVARIS,Liberal,LP
192,Bass,TAS,23294,Andrew,NIKOLIC,Liberal,LP
199,Batman,VIC,23296,David,FEENEY,Australian Labor Party,ALP
200,Bendigo,VIC,23318,Lisa,CHESTERS,Australian Labor Party,ALP
105,Bennelong,NSW,23197,John,ALEXANDER,Liberal,LP
106,Berowra,NSW,23203,Philip,RUDDOCK,Liberal,LP
304,Blair,QLD,23727,Shayne Kenneth,NEUMANN,Australian Labor Party,ALP
107,Blaxland,NSW,24623,Jason,CLARE,Australian Labor Party,ALP
310,Bonner,QLD,23903,Ross,VASTA,Liberal National Party,LNP
182,Boothby,SA,23820,Andrew,SOUTHCOTT,Liberal,LP
155,Bowman,QLD,23915,Andrew,LAMING,Liberal National Party,LNP
193,Braddon,TAS,23270,Brett,WHITELEY,Liberal,LP
108,Bradfield,NSW,23200,Paul,FLETCHER,Liberal,LP
235,Brand,WA,24035,Gary,GRAY,Australian Labor Party,ALP
156,Brisbane,QLD,23789,Teresa,GAMBARO,Liberal National Party,LNP
201,Bruce,VIC,23317,Alan,GRIFFIN,Australian Labor Party,ALP
109,Calare,NSW,23245,John,COBB,The Nationals,NP
203,Calwell,VIC,23299,Maria,VAMVAKINOU,Australian Labor Party,ALP
101,Canberra,ACT,24122,Gai,BRODTMANN,Australian Labor Party,ALP
