2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:48 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8829,Barton,24857,SEFTON,Tom,1,N,N,LP,Liberal,742,4.06
ACT,101,Canberra,8829,Barton,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,338,-7.89
ACT,101,Canberra,8829,Barton,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,40,1.97
ACT,101,Canberra,8829,Barton,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,88,4.34
ACT,101,Canberra,8829,Barton,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,795,-3.64
ACT,101,Canberra,8829,Barton,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,23,1.14
ACT,101,Canberra,8829,Barton,999,Informal,Informal,999,N,N,,Informal,69,-0.19
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,24857,SEFTON,Tom,1,N,N,LP,Liberal,290,-2.45
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,143,-7.49
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,40,4.57
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,56,6.4
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,335,-2.29
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,11,1.26
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,999,Informal,Informal,999,N,N,,Informal,45,1.28
ACT,101,Canberra,65504,BLV Canberra PPVC,24857,SEFTON,Tom,1,N,N,LP,Liberal,7,35
ACT,101,Canberra,65504,BLV Canberra PPVC,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,4,20
ACT,101,Canberra,65504,BLV Canberra PPVC,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,0,0
ACT,101,Canberra,65504,BLV Canberra PPVC,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,0,0
ACT,101,Canberra,65504,BLV Canberra PPVC,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,8,40
ACT,101,Canberra,65504,BLV Canberra PPVC,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,1,5
ACT,101,Canberra,65504,BLV Canberra PPVC,999,Informal,Informal,999,N,N,,Informal,1,4.76
ACT,101,Canberra,11877,Bonython,24857,SEFTON,Tom,1,N,N,LP,Liberal,597,-2.51
ACT,101,Canberra,11877,Bonython,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,210,-3.47
ACT,101,Canberra,11877,Bonython,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,57,3.24
ACT,101,Canberra,11877,Bonython,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,75,4.27
ACT,101,Canberra,11877,Bonython,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,805,-2.33
ACT,101,Canberra,11877,Bonython,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,14,0.8
ACT,101,Canberra,11877,Bonython,999,Informal,Informal,999,N,N,,Informal,98,-0.22
ACT,101,Canberra,11452,Calwell,24857,SEFTON,Tom,1,N,N,LP,Liberal,793,1.14
ACT,101,Canberra,11452,Calwell,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,238,-5.85
ACT,101,Canberra,11452,Calwell,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,78,3.65
ACT,101,Canberra,11452,Calwell,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,80,3.74
ACT,101,Canberra,11452,Calwell,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,928,-3.71
ACT,101,Canberra,11452,Calwell,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,22,1.03
ACT,101,Canberra,11452,Calwell,999,Informal,Informal,999,N,N,,Informal,113,-1.31
ACT,101,Canberra,8761,Chapman,24857,SEFTON,Tom,1,N,N,LP,Liberal,896,0.38
ACT,101,Canberra,8761,Chapman,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,334,-4.81
ACT,101,Canberra,8761,Chapman,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,65,2.75
ACT,101,Canberra,8761,Chapman,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,78,3.3
ACT,101,Canberra,8761,Chapman,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,959,-2.9
ACT,101,Canberra,8761,Chapman,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,30,1.27
ACT,101,Canberra,8761,Chapman,999,Informal,Informal,999,N,N,,Informal,86,-0.44
ACT,101,Canberra,8763,Chisholm,24857,SEFTON,Tom,1,N,N,LP,Liberal,601,-0.64
ACT,101,Canberra,8763,Chisholm,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,147,-5.69
ACT,101,Canberra,8763,Chisholm,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,80,5.12
ACT,101,Canberra,8763,Chisholm,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,66,4.23
ACT,101,Canberra,8763,Chisholm,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,654,-3.92
ACT,101,Canberra,8763,Chisholm,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,14,0.9
ACT,101,Canberra,8763,Chisholm,999,Informal,Informal,999,N,N,,Informal,82,-0.97
ACT,101,Canberra,58708,City CANBERRA PPVC,24857,SEFTON,Tom,1,N,N,LP,Liberal,1380,4.67
ACT,101,Canberra,58708,City CANBERRA PPVC,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,512,-9.68
ACT,101,Canberra,58708,City CANBERRA PPVC,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,105,2.83
ACT,101,Canberra,58708,City CANBERRA PPVC,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,210,5.66
ACT,101,Canberra,58708,City CANBERRA PPVC,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,1473,-4.36
ACT,101,Canberra,58708,City CANBERRA PPVC,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,33,0.89
ACT,101,Canberra,58708,City CANBERRA PPVC,999,Informal,Informal,999,N,N,,Informal,98,-1.54
ACT,101,Canberra,31298,Conder,24857,SEFTON,Tom,1,N,N,LP,Liberal,972,-3.2
ACT,101,Canberra,31298,Conder,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,271,-5.26
ACT,101,Canberra,31298,Conder,24239,HANLEY,Tony,3,N,N,PUP,Palmer United Party,153,5.49
ACT,101,Canberra,31298,Conder,24118,MAHER,Damien,4,N,N,BTA,Bullet Train For Australia,132,4.74
ACT,101,Canberra,31298,Conder,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,1233,-2.7
ACT,101,Canberra,31298,Conder,24238,BURT,Nicolle,6,N,N,SPA,Secular Party of Australia,26,0.93
ACT,101,Canberra,31298,Conder,999,Informal,Informal,999,N,N,,Informal,165,-0.68
ACT,101,Canberra,8764,Curtin,24857,SEFTON,Tom,1,N,N,LP,Liberal,749,-1.07
ACT,101,Canberra,8764,Curtin,24895,MELROSE,Julie,2,N,N,GRN,Australian Greens,415,-4.32
