2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for NT [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:48 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
NT,306,Lingiari,8701,Alice Springs,23273,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,21,0.62
NT,306,Lingiari,8701,Alice Springs,24775,SHAW,Barbara,2,N,N,GRN,Australian Greens,178,-5.89
NT,306,Lingiari,8701,Alice Springs,24971,GOULD,Alf,3,N,N,IND,Independent,26,2.35
NT,306,Lingiari,8701,Alice Springs,24864,MacFARLANE,Tina,4,N,N,CLP,Country Liberals (NT),424,7.04
NT,306,Lingiari,8701,Alice Springs,24197,McCARTHY,Regina,5,N,N,RUA,Rise Up Australia Party,16,1.45
NT,306,Lingiari,8701,Alice Springs,23798,HEDLAND,Trevor,6,N,N,PUP,Palmer United Party,38,3.43
NT,306,Lingiari,8701,Alice Springs,24213,LECHLEITNER,Kenneth Immanuel,7,N,N,FNPP,A.F.N.P.P.,34,3.07
NT,306,Lingiari,8701,Alice Springs,23522,SNOWDON,Warren,8,Y,Y,ALP,Australian Labor Party (Northern Territory) Branch,370,-0.53
NT,306,Lingiari,8701,Alice Springs,999,Informal,Informal,999,N,N,,Informal,66,0.27
NT,306,Lingiari,65681,Alice Springs PPVC,23273,FLYNN,Peter,1,N,N,CEC,Citizens Electoral Council,0,0
NT,306,Lingiari,65681,Alice Springs PPVC,24775,SHAW,Barbara,2,N,N,GRN,Australian Greens,0,0
NT,306,Lingiari,65681,Alice Springs PPVC,24971,GOULD,Alf,3,N,N,IND,Independent,0,0
NT,306,Lingiari,65681,Alice Springs PPVC,24864,MacFARLANE,Tina,4,N,N,CLP,Country Liberals (NT),0,0
