2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for QLD [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:58 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
QLD,304,Blair,6344,Blackstone,24847,DENMAN,Elwyn,1,N,N,FFP,Family First,14,-0.56
QLD,304,Blair,6344,Blackstone,23727,NEUMANN,Shayne Kenneth,2,Y,Y,ALP,Australian Labor Party,180,4.17
QLD,304,Blair,6344,Blackstone,24330,CHORLEY,Dale,3,N,N,KAP,Katter's Australian Party,4,1.08
QLD,304,Blair,6344,Blackstone,23677,MACKIN,Anthony,4,N,N,RUA,Rise Up Australia Party,1,0.27
QLD,304,Blair,6344,Blackstone,23799,HARDING,Teresa,5,N,N,LNP,Liberal National Party of Queensland,120,-1.71
QLD,304,Blair,6344,Blackstone,23402,STANTON,Anthony John,6,N,N,PUP,Palmer United Party,37,9.95
QLD,304,Blair,6344,Blackstone,23858,RUDKIN,Clare,7,N,N,GRN,The Greens,11,-9.1
QLD,304,Blair,6344,Blackstone,23302,DEGUARA,Shannon,8,N,N,AIN,Australian Independents,5,1.34
QLD,304,Blair,6344,Blackstone,999,Informal,Informal,999,N,N,,Informal,34,1.67
QLD,304,Blair,65494,BLV Blair PPVC,24847,DENMAN,Elwyn,1,N,N,FFP,Family First,0,0
QLD,304,Blair,65494,BLV Blair PPVC,23727,NEUMANN,Shayne Kenneth,2,Y,Y,ALP,Australian Labor Party,8,57.14
QLD,304,Blair,65494,BLV Blair PPVC,24330,CHORLEY,Dale,3,N,N,KAP,Katter's Australian Party,0,0
QLD,304,Blair,65494,BLV Blair PPVC,23677,MACKIN,Anthony,4,N,N,RUA,Rise Up Australia Party,0,0
QLD,304,Blair,65494,BLV Blair PPVC,23799,HARDING,Teresa,5,N,N,LNP,Liberal National Party of Queensland,5,35.71
QLD,304,Blair,65494,BLV Blair PPVC,23402,STANTON,Anthony John,6,N,N,PUP,Palmer United Party,0,0
QLD,304,Blair,65494,BLV Blair PPVC,23858,RUDKIN,Clare,7,N,N,GRN,The Greens,1,7.14
QLD,304,Blair,65494,BLV Blair PPVC,23302,DEGUARA,Shannon,8,N,N,AIN,Australian Independents,0,0
QLD,304,Blair,65494,BLV Blair PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
QLD,304,Blair,6347,Brassall,24847,DENMAN,Elwyn,1,N,N,FFP,Family First,48,-1.11
QLD,304,Blair,6347,Brassall,23727,NEUMANN,Shayne Kenneth,2,Y,Y,ALP,Australian Labor Party,818,-2.6
QLD,304,Blair,6347,Brassall,24330,CHORLEY,Dale,3,N,N,KAP,Katter's Australian Party,40,2.12
QLD,304,Blair,6347,Brassall,23677,MACKIN,Anthony,4,N,N,RUA,Rise Up Australia Party,8,0.42
QLD,304,Blair,6347,Brassall,23799,HARDING,Teresa,5,N,N,LNP,Liberal National Party of Queensland,679,-3.67
QLD,304,Blair,6347,Brassall,23402,STANTON,Anthony John,6,N,N,PUP,Palmer United Party,219,11.6
QLD,304,Blair,6347,Brassall,23858,RUDKIN,Clare,7,N,N,GRN,The Greens,57,-4.28
QLD,304,Blair,6347,Brassall,23302,DEGUARA,Shannon,8,N,N,AIN,Australian Independents,19,1.01
QLD,304,Blair,6347,Brassall,999,Informal,Informal,999,N,N,,Informal,107,1.15
QLD,304,Blair,6348,Brassall North,24847,DENMAN,Elwyn,1,N,N,FFP,Family First,63,-3.75
QLD,304,Blair,6348,Brassall North,23727,NEUMANN,Shayne Kenneth,2,Y,Y,ALP,Australian Labor Party,1061,0.51
QLD,304,Blair,6348,Brassall North,24330,CHORLEY,Dale,3,N,N,KAP,Katter's Australian Party,54,2.31
QLD,304,Blair,6348,Brassall North,23677,MACKIN,Anthony,4,N,N,RUA,Rise Up Australia Party,21,0.9
QLD,304,Blair,6348,Brassall North,23799,HARDING,Teresa,5,N,N,LNP,Liberal National Party of Queensland,682,-4.26
