2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:51 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,6648,Adelaide (Adelaide),24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,12,1.12
SA,179,Adelaide,6648,Adelaide (Adelaide),23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,304,0.86
SA,179,Adelaide,6648,Adelaide (Adelaide),24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,15,2.22
SA,179,Adelaide,6648,Adelaide (Adelaide),23637,GARCIA,Carmen,4,N,N,LP,Liberal,194,7.19
SA,179,Adelaide,6648,Adelaide (Adelaide),25001,LEE,Peter,5,N,N,FFP,Family First,17,1.2
SA,179,Adelaide,6648,Adelaide (Adelaide),24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,135,-10.37
SA,179,Adelaide,6648,Adelaide (Adelaide),999,Informal,Informal,999,N,N,,Informal,41,-0.28
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,32,0.66
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,1040,-2.01
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,45,1.65
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,23637,GARCIA,Carmen,4,N,N,LP,Liberal,1192,4.37
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,25001,LEE,Peter,5,N,N,FFP,Family First,48,0.24
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,378,-3.36
SA,179,Adelaide,32952,Adelaide ADELAIDE PPVC,999,Informal,Informal,999,N,N,,Informal,58,-0.43
SA,179,Adelaide,6649,Adelaide East,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,14,0.23
SA,179,Adelaide,6649,Adelaide East,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,456,-0.17
SA,179,Adelaide,6649,Adelaide East,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,14,1.23
SA,179,Adelaide,6649,Adelaide East,23637,GARCIA,Carmen,4,N,N,LP,Liberal,503,7.58
SA,179,Adelaide,6649,Adelaide East,25001,LEE,Peter,5,N,N,FFP,Family First,21,0.66
SA,179,Adelaide,6649,Adelaide East,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,127,-7.71
SA,179,Adelaide,6649,Adelaide East,999,Informal,Informal,999,N,N,,Informal,35,-0.35
SA,179,Adelaide,6650,Adelaide Hospital,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,6,-0.08
SA,179,Adelaide,6650,Adelaide Hospital,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,197,4.17
SA,179,Adelaide,6650,Adelaide Hospital,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,10,2.17
SA,179,Adelaide,6650,Adelaide Hospital,23637,GARCIA,Carmen,4,N,N,LP,Liberal,159,-1.39
SA,179,Adelaide,6650,Adelaide Hospital,25001,LEE,Peter,5,N,N,FFP,Family First,9,0.16
SA,179,Adelaide,6650,Adelaide Hospital,24875,BEACH,Ruth,6,N,N,GRN,Australian Greens,79,-1.92
SA,179,Adelaide,6650,Adelaide Hospital,999,Informal,Informal,999,N,N,,Informal,23,-0.3
SA,179,Adelaide,6651,Adelaide South,24884,LAZAROU,Liah,1,N,N,SAL,Socialist Alliance,27,0.21
SA,179,Adelaide,6651,Adelaide South,23971,ELLIS,Kate,2,Y,Y,ALP,Australian Labor Party,858,2.08
SA,179,Adelaide,6651,Adelaide South,24370,SCALI,Vincent,3,N,N,PUP,Palmer United Party,34,1.73
SA,179,Adelaide,6651,Adelaide South,23637,GARCIA,Carmen,4,N,N,LP,Liberal,683,1.1
