2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for TAS [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:49 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
TAS,192,Bass,8289,Blessington Upper,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,1,1.28
TAS,192,Bass,8289,Blessington Upper,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,43,8.98
TAS,192,Bass,8289,Blessington Upper,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,7,8.97
TAS,192,Bass,8289,Blessington Upper,24170,BERGMAN,Christine,4,N,N,FFP,Family First,4,5.13
TAS,192,Bass,8289,Blessington Upper,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,20,-6.23
TAS,192,Bass,8289,Blessington Upper,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,2,-18.32
TAS,192,Bass,8289,Blessington Upper,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,1,1.28
TAS,192,Bass,8289,Blessington Upper,999,Informal,Informal,999,N,N,,Informal,7,2.05
TAS,192,Bass,65496,BLV Bass PPVC,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,0,0
TAS,192,Bass,65496,BLV Bass PPVC,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,6,33.33
TAS,192,Bass,65496,BLV Bass PPVC,23546,DOBSON,Christopher Lee,3,N,N,PUP,Palmer United Party,0,0
TAS,192,Bass,65496,BLV Bass PPVC,24170,BERGMAN,Christine,4,N,N,FFP,Family First,0,0
TAS,192,Bass,65496,BLV Bass PPVC,23464,LYONS,Geoff,5,N,Y,ALP,Australian Labor Party,9,50
TAS,192,Bass,65496,BLV Bass PPVC,23452,LANDON-LANE,Lucy,6,N,N,GRN,Australian Greens,3,16.67
TAS,192,Bass,65496,BLV Bass PPVC,24643,CHOI,Jin-oh,7,N,N,SPA,Secular Party of Australia,0,0
TAS,192,Bass,65496,BLV Bass PPVC,999,Informal,Informal,999,N,N,,Informal,0,0
TAS,192,Bass,8290,Branxholm,24794,KROEZE,Ray,1,N,N,AUC,Australian Christians,4,1.9
TAS,192,Bass,8290,Branxholm,23294,NIKOLIC,Andrew,2,Y,N,LP,Liberal,123,9.85
