2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for VIC [Event:17496 Phase:FinalResults Generated:2014-10-28T11:22:10 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
VIC,197,Aston,2942,Bayswater,23382,EVANS,Rupert,1,N,N,ALP,Australian Labor Party,760,-5.11
VIC,197,Aston,2942,Bayswater,24155,SPEER,Jennifer,2,N,N,RUA,Rise Up Australia Party,15,0.73
VIC,197,Aston,2942,Bayswater,23387,RAYMOND,Steve,3,N,N,GRN,The Greens,168,-3.13
VIC,197,Aston,2942,Bayswater,23474,TUDGE,Alan,4,Y,Y,LP,Liberal,888,3.46
VIC,197,Aston,2942,Bayswater,23621,WATT,Bradley Walter,5,N,N,PUP,Palmer United Party,102,4.97
VIC,197,Aston,2942,Bayswater,24975,FOSTER,Tony,6,N,N,FFP,Family First Party,56,-4.04
VIC,197,Aston,2942,Bayswater,23850,JENKINS,Charity,7,N,N,ASXP,Sex Party,64,3.12
VIC,197,Aston,2942,Bayswater,999,Informal,Informal,999,N,N,,Informal,105,-0.15
VIC,197,Aston,2943,Bayswater East,23382,EVANS,Rupert,1,N,N,ALP,Australian Labor Party,488,-3.05
VIC,197,Aston,2943,Bayswater East,24155,SPEER,Jennifer,2,N,N,RUA,Rise Up Australia Party,7,0.58
VIC,197,Aston,2943,Bayswater East,23387,RAYMOND,Steve,3,N,N,GRN,The Greens,84,-4.94
VIC,197,Aston,2943,Bayswater East,23474,TUDGE,Alan,4,Y,Y,LP,Liberal,512,3.36
VIC,197,Aston,2943,Bayswater East,23621,WATT,Bradley Walter,5,N,N,PUP,Palmer United Party,40,3.32
VIC,197,Aston,2943,Bayswater East,24975,FOSTER,Tony,6,N,N,FFP,Family First Party,36,0.92
VIC,197,Aston,2943,Bayswater East,23850,JENKINS,Charity,7,N,N,ASXP,Sex Party,39,0.52
VIC,197,Aston,2943,Bayswater East,999,Informal,Informal,999,N,N,,Informal,59,-0.55
VIC,197,Aston,2944,Bayswater South,23382,EVANS,Rupert,1,N,N,ALP,Australian Labor Party,284,-5.59
VIC,197,Aston,2944,Bayswater South,24155,SPEER,Jennifer,2,N,N,RUA,Rise Up Australia Party,0,0
VIC,197,Aston,2944,Bayswater South,23387,RAYMOND,Steve,3,N,N,GRN,The Greens,81,-2.41
VIC,197,Aston,2944,Bayswater South,23474,TUDGE,Alan,4,Y,Y,LP,Liberal,375,3.93
VIC,197,Aston,2944,Bayswater South,23621,WATT,Bradley Walter,5,N,N,PUP,Palmer United Party,30,3.69
VIC,197,Aston,2944,Bayswater South,24975,FOSTER,Tony,6,N,N,FFP,Family First Party,18,-2.8
VIC,197,Aston,2944,Bayswater South,23850,JENKINS,Charity,7,N,N,ASXP,Sex Party,26,3.19
VIC,197,Aston,2944,Bayswater South,999,Informal,Informal,999,N,N,,Informal,30,-0.69
VIC,197,Aston,2945,Bayswater West,23382,EVANS,Rupert,1,N,N,ALP,Australian Labor Party,577,-5.5
VIC,197,Aston,2945,Bayswater West,24155,SPEER,Jennifer,2,N,N,RUA,Rise Up Australia Party,9,0.58
VIC,197,Aston,2945,Bayswater West,23387,RAYMOND,Steve,3,N,N,GRN,The Greens,98,-2.9
VIC,197,Aston,2945,Bayswater West,23474,TUDGE,Alan,4,Y,Y,LP,Liberal,744,3.77
VIC,197,Aston,2945,Bayswater West,23621,WATT,Bradley Walter,5,N,N,PUP,Palmer United Party,50,3.2
VIC,197,Aston,2945,Bayswater West,24975,FOSTER,Tony,6,N,N,FFP,Family First Party,51,-1.31
VIC,197,Aston,2945,Bayswater West,23850,JENKINS,Charity,7,N,N,ASXP,Sex Party,34,2.18
VIC,197,Aston,2945,Bayswater West,999,Informal,Informal,999,N,N,,Informal,80,-0.25
VIC,197,Aston,2947,Blackwood Park,23382,EVANS,Rupert,1,N,N,ALP,Australian Labor Party,346,-9.37
VIC,197,Aston,2947,Blackwood Park,24155,SPEER,Jennifer,2,N,N,RUA,Rise Up Australia Party,3,0.29
VIC,197,Aston,2947,Blackwood Park,23387,RAYMOND,Steve,3,N,N,GRN,The Greens,73,-2.57
VIC,197,Aston,2947,Blackwood Park,23474,TUDGE,Alan,4,Y,Y,LP,Liberal,503,6.17
VIC,197,Aston,2947,Blackwood Park,23621,WATT,Bradley Walter,5,N,N,PUP,Palmer United Party,49,4.82
VIC,197,Aston,2947,Blackwood Park,24975,FOSTER,Tony,6,N,N,FFP,Family First Party,16,-1.99
VIC,197,Aston,2947,Blackwood Park,23850,JENKINS,Charity,7,N,N,ASXP,Sex Party,27,2.65
VIC,197,Aston,2947,Blackwood Park,999,Informal,Informal,999,N,N,,Informal,68,1.19
VIC,197,Aston,65510,BLV Aston PPVC,23382,EVANS,Rupert,1,N,N,ALP,Australian Labor Party,3,13.64
VIC,197,Aston,65510,BLV Aston PPVC,24155,SPEER,Jennifer,2,N,N,RUA,Rise Up Australia Party,0,0
VIC,197,Aston,65510,BLV Aston PPVC,23387,RAYMOND,Steve,3,N,N,GRN,The Greens,2,9.09
VIC,197,Aston,65510,BLV Aston PPVC,23474,TUDGE,Alan,4,Y,Y,LP,Liberal,12,54.55
VIC,197,Aston,65510,BLV Aston PPVC,23621,WATT,Bradley Walter,5,N,N,PUP,Palmer United Party,4,18.18
