2013 Federal Election House of Representatives First Preferences By Candidate By Polling Place for WA [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:54 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
WA,235,Brand,7472,Baldivis,24435,NEWHOUSE,Andrew,1,N,N,FFP,Family First Party,61,-1.06
WA,235,Brand,7472,Baldivis,23628,LAWRENCE,Craig Walker,2,N,N,PUP,Palmer United Party,228,7.57
WA,235,Brand,7472,Baldivis,24035,GRAY,Gary,3,Y,Y,ALP,Australian Labor Party,1070,2.67
WA,235,Brand,7472,Baldivis,23385,LE-COCQ,Mick,4,N,N,CEC,Citizens Electoral Council,3,0.1
WA,235,Brand,7472,Baldivis,25021,YOUNG,Paul James,5,N,N,DEM,Australian Democrats,15,0.5
WA,235,Brand,7472,Baldivis,24021,IRIKS,Gabrielle Lisanne,6,N,N,RUA,Rise Up Australia Party,14,0.46
WA,235,Brand,7472,Baldivis,24026,JECKS,Dawn,7,N,N,GRN,The Greens (WA),197,-6.07
WA,235,Brand,7472,Baldivis,24378,BURDETT,Bob,8,N,N,AUC,Australian Christians,91,3.02
WA,235,Brand,7472,Baldivis,23836,GORDIN,Donna,9,N,N,LP,Liberal,1332,-3.43
WA,235,Brand,7472,Baldivis,999,Informal,Informal,999,N,N,,Informal,134,0.28
WA,235,Brand,64591,Baldivis East,24435,NEWHOUSE,Andrew,1,N,N,FFP,Family First Party,29,-1.23
WA,235,Brand,64591,Baldivis East,23628,LAWRENCE,Craig Walker,2,N,N,PUP,Palmer United Party,118,7.84
WA,235,Brand,64591,Baldivis East,24035,GRAY,Gary,3,Y,Y,ALP,Australian Labor Party,562,4.09
WA,235,Brand,64591,Baldivis East,23385,LE-COCQ,Mick,4,N,N,CEC,Citizens Electoral Council,4,0.27
WA,235,Brand,64591,Baldivis East,25021,YOUNG,Paul James,5,N,N,DEM,Australian Democrats,9,0.6
WA,235,Brand,64591,Baldivis East,24021,IRIKS,Gabrielle Lisanne,6,N,N,RUA,Rise Up Australia Party,6,0.4
WA,235,Brand,64591,Baldivis East,24026,JECKS,Dawn,7,N,N,GRN,The Greens (WA),104,-6.33
WA,235,Brand,64591,Baldivis East,24378,BURDETT,Bob,8,N,N,AUC,Australian Christians,46,3.06
WA,235,Brand,64591,Baldivis East,23836,GORDIN,Donna,9,N,N,LP,Liberal,627,-5.04
WA,235,Brand,64591,Baldivis East,999,Informal,Informal,999,N,N,,Informal,64,-0.1
WA,235,Brand,65679,Baldivis North,24435,NEWHOUSE,Andrew,1,N,N,FFP,Family First Party,48,-0.88
WA,235,Brand,65679,Baldivis North,23628,LAWRENCE,Craig Walker,2,N,N,PUP,Palmer United Party,172,7.88
WA,235,Brand,65679,Baldivis North,24035,GRAY,Gary,3,Y,Y,ALP,Australian Labor Party,785,0.58
WA,235,Brand,65679,Baldivis North,23385,LE-COCQ,Mick,4,N,N,CEC,Citizens Electoral Council,5,0.23
WA,235,Brand,65679,Baldivis North,25021,YOUNG,Paul James,5,N,N,DEM,Australian Democrats,19,0.87
WA,235,Brand,65679,Baldivis North,24021,IRIKS,Gabrielle Lisanne,6,N,N,RUA,Rise Up Australia Party,11,0.5
WA,235,Brand,65679,Baldivis North,24026,JECKS,Dawn,7,N,N,GRN,The Greens (WA),142,-7.14
WA,235,Brand,65679,Baldivis North,24378,BURDETT,Bob,8,N,N,AUC,Australian Christians,87,3.99
WA,235,Brand,65679,Baldivis North,23836,GORDIN,Donna,9,N,N,LP,Liberal,914,-2.82
WA,235,Brand,65679,Baldivis North,999,Informal,Informal,999,N,N,,Informal,120,0.96
WA,235,Brand,38449,Bertram,24435,NEWHOUSE,Andrew,1,N,N,FFP,Family First Party,42,-1.01
WA,235,Brand,38449,Bertram,23628,LAWRENCE,Craig Walker,2,N,N,PUP,Palmer United Party,162,8.08
WA,235,Brand,38449,Bertram,24035,GRAY,Gary,3,Y,Y,ALP,Australian Labor Party,879,1.51
WA,235,Brand,38449,Bertram,23385,LE-COCQ,Mick,4,N,N,CEC,Citizens Electoral Council,5,0.25
WA,235,Brand,38449,Bertram,25021,YOUNG,Paul James,5,N,N,DEM,Australian Democrats,10,0.5
WA,235,Brand,38449,Bertram,24021,IRIKS,Gabrielle Lisanne,6,N,N,RUA,Rise Up Australia Party,10,0.5
WA,235,Brand,38449,Bertram,24026,JECKS,Dawn,7,N,N,GRN,The Greens (WA),149,-6.78
WA,235,Brand,38449,Bertram,24378,BURDETT,Bob,8,N,N,AUC,Australian Christians,49,2.44
WA,235,Brand,38449,Bertram,23836,GORDIN,Donna,9,N,N,LP,Liberal,699,-1.64
WA,235,Brand,38449,Bertram,999,Informal,Informal,999,N,N,,Informal,103,-1.06
WA,235,Brand,65586,BLV Brand PPVC,24435,NEWHOUSE,Andrew,1,N,N,FFP,Family First Party,1,8.33
