2013 Federal Election House of Representatives Two Candidate Preferred By Candidate By Vote Type [Event:17496 Phase:FinalResults Generated:2014-10-28T11:21:47 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing
ACT,101,Canberra,24857,SEFTON,Tom,1,N,N,LP,Liberal,44272,528,141,2363,2590,49894,2.17
ACT,101,Canberra,24122,BRODTMANN,Gai,5,Y,Y,ALP,Australian Labor Party,59154,987,179,3065,2689,66074,-2.17
ACT,102,Fraser,24865,LEE,Elizabeth,2,N,N,LP,Liberal,41621,554,99,2041,2606,46921,1.58
ACT,102,Fraser,24147,LEIGH,Andrew,3,Y,Y,ALP,Australian Labor Party,70470,954,217,3529,3444,78614,-1.58
NSW,103,Banks,24568,MELHAM,Daryl,1,N,Y,ALP,Labor,33615,2098,151,2031,2990,40885,-3.28
NSW,103,Banks,23182,COLEMAN,David,8,Y,N,LP,Liberal,36394,1684,123,1801,3988,43990,3.28
NSW,104,Barton,23183,VARVARIS,Nickolas,2,Y,N,LP,Liberal,33260,1738,153,1858,3236,40245,7.17
NSW,104,Barton,24550,McMAHON,Steve,5,N,N,ALP,Labor,33329,1836,169,1964,2458,39756,-7.17
NSW,105,Bennelong,24738,LI,Jason Yat-Sen,2,N,N,ALP,Labor,30863,1484,117,1876,3043,37383,-4.65
NSW,105,Bennelong,23197,ALEXANDER,John,6,Y,Y,LP,Liberal,41977,1696,111,2111,5244,51139,4.65
NSW,106,Berowra,23203,RUDDOCK,Philip,5,Y,Y,LP,Liberal,50090,2811,59,1857,5030,59847,2.87
NSW,106,Berowra,24544,STOVE,Michael Joseph,7,N,N,ALP,Labor,22509,1455,24,1009,1803,26800,-2.87
NSW,107,Blaxland,23213,KHOURI,Anthony,2,N,N,LP,Liberal,24579,1572,128,1151,2722,30152,0.8
NSW,107,Blaxland,24623,CLARE,Jason,4,Y,Y,ALP,Labor,40920,2324,238,1607,2936,48025,-0.8
NSW,108,Bradfield,24551,HAVILAND,Chris,4,N,N,ALP,Labor,21196,1633,31,1241,1812,25913,-2.6
NSW,108,Bradfield,23200,FLETCHER,Paul,5,Y,Y,LP,Liberal,52075,2650,78,2352,5616,62771,2.6
NSW,109,Calare,23245,COBB,John,1,Y,Y,NP,The Nationals,54710,1518,128,1466,2426,60248,5.23
NSW,109,Calare,24593,JENNINGS,Jess,4,N,N,ALP,Labor,28153,964,60,790,1108,31075,-5.23
NSW,110,Charlton,24657,CONROY,Pat,1,Y,N,ALP,Labor,44196,2124,200,966,3687,51173,-3.44
NSW,110,Charlton,23196,BAKER,Kevin,2,N,N,LP,Liberal,30086,1350,74,877,2840,35227,3.44
