2013 Federal Election House of Representatives Two Party Preferred By Polling Place [Event:17496 Phase:FinalResults Generated:2014-10-28T11:22:57 Cycle:570ee0da-3d7a-4f7e-8aa1-3c32a4f287ed Created:2014-05-16T14:24:09 Environment:PROD Site:PARKES Server:ACT01 Version:9.1.17.21449]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
ACT,101,Canberra,8829,Barton,1171,57.8,855,42.2,2026,-5.99
ACT,101,Canberra,64583,Belconnen CANBERRA PPVC,532,60.8,343,39.2,875,1.17
ACT,101,Canberra,65504,BLV Canberra PPVC,13,65,7,35,20,65
ACT,101,Canberra,11877,Bonython,1066,60.64,692,39.36,1758,0.97
ACT,101,Canberra,11452,Calwell,1229,57.46,910,42.54,2139,-2.98
ACT,101,Canberra,8761,Chapman,1352,57.24,1010,42.76,2362,-2.11
ACT,101,Canberra,8763,Chisholm,871,55.76,691,44.24,1562,-0.44
ACT,101,Canberra,58708,City CANBERRA PPVC,2137,57.55,1576,42.45,3713,-5.92
ACT,101,Canberra,31298,Conder,1638,58.77,1149,41.23,2787,0.66
ACT,101,Canberra,8764,Curtin,1471,63.35,851,36.65,2322,-0.22
ACT,101,Canberra,8766,Deakin,598,41.13,856,58.87,1454,-5.34
ACT,101,Canberra,30092,Divisional Office (PREPOLL),941,58.37,671,41.63,1612,-0.39
ACT,101,Canberra,8767,Duffy,1125,62.5,675,37.5,1800,-2.18
ACT,101,Canberra,8768,Fadden,1054,52.31,961,47.69,2015,-1.95
ACT,101,Canberra,8769,Farrer,1145,52.16,1050,47.84,2195,-0.83
ACT,101,Canberra,8794,Garran,683,57.01,515,42.99,1198,-4.2
ACT,101,Canberra,8771,Gilmore,1074,56.38,831,43.62,1905,-0.43
ACT,101,Canberra,12072,Gordon,2048,56.61,1570,43.39,3618,-2.29
ACT,101,Canberra,8772,Gowrie,944,55.17,767,44.83,1711,-3.32
ACT,101,Canberra,8817,Griffith,728,54.09,618,45.91,1346,-3.18
ACT,101,Canberra,8773,Holder,1011,58.64,713,41.36,1724,-1.15
ACT,101,Canberra,8774,Hughes,1086,60.57,707,39.43,1793,2.12
ACT,101,Canberra,8884,Isabella Plains,1282,60.3,844,39.7,2126,-1.55
ACT,101,Canberra,8776,Kambah North,551,59.18,380,40.82,931,-0.21
ACT,101,Canberra,8777,Kambah South,1534,64.18,856,35.82,2390,-1.02
ACT,101,Canberra,8778,Kambah West,1511,58.2,1085,41.8,2596,-3.19
ACT,101,Canberra,8779,Lyons,796,62.04,487,37.96,1283,-4.16
ACT,101,Canberra,8780,Mawson,1219,55.89,962,44.11,2181,-0.94
ACT,101,Canberra,8781,Monash,1313,56.67,1004,43.33,2317,-0.64
ACT,101,Canberra,8782,Narrabundah,1019,63.37,589,36.63,1608,-2.03
ACT,101,Canberra,65739,Norfolk Island,51,57.3,38,42.7,89,-2.42
ACT,101,Canberra,32706,Norfolk Island PPVC,0,0,0,0,0,0
ACT,101,Canberra,8783,Oaks Estate,107,61.49,67,38.51,174,-10.77
ACT,101,Canberra,65158,Other Mobile Team 1,11,68.75,5,31.25,16,10.42
ACT,101,Canberra,65741,Parkes (Canberra),879,66.74,438,33.26,1317,6.1
ACT,101,Canberra,65742,Parkes PPVC,0,0,0,0,0,-59.79
ACT,101,Canberra,8784,Pearce,1514,60.15,1003,39.85,2517,-0.72
ACT,101,Canberra,8785,Red Hill,1240,55.43,997,44.57,2237,-1.23
ACT,101,Canberra,8786,Richardson,836,60.19,553,39.81,1389,1.22
ACT,101,Canberra,32712,Special Hospital Team 1,109,51.66,102,48.34,211,6.54
ACT,101,Canberra,58810,Special Hospital Team 2,99,42.67,133,57.33,232,-2.54
ACT,101,Canberra,58811,Special Hospital Team 3,74,42.53,100,57.47,174,-2.4
ACT,101,Canberra,46425,Stirling,456,56.02,358,43.98,814,-1.97
ACT,101,Canberra,8788,Tharwa,51,49.51,52,50.49,103,-2.87
ACT,101,Canberra,11878,Theodore,833,56.9,631,43.1,1464,-2.25
ACT,101,Canberra,32704,Tuggeranong CANBERRA PPVC,7534,54.3,6341,45.7,13875,-2.59
ACT,101,Canberra,8790,Wanniassa,1220,62.37,736,37.63,1956,0.62
ACT,101,Canberra,8791,Wanniassa Hills,1230,60.5,803,39.5,2033,-2.29
ACT,101,Canberra,8792,Waramanga,1396,61.2,885,38.8,2281,-2.19
ACT,101,Canberra,8793,Weston,851,62.99,500,37.01,1351,-0.21
ACT,101,Canberra,32705,Woden CANBERRA PPVC,6704,54.32,5637,45.68,12341,-2.85
ACT,101,Canberra,8840,Yarralumla,817,55.02,668,44.98,1485,-3.07
ACT,102,Fraser,8801,Ainslie North,1627,77.15,482,22.85,2109,0.73
ACT,102,Fraser,8804,Ainslie South,408,73.91,144,26.09,552,-2.75
ACT,102,Fraser,38197,Amaroo,1218,54.55,1015,45.45,2233,-1.23
ACT,102,Fraser,8803,Aranda,1622,72.83,605,27.17,2227,-0.22
ACT,102,Fraser,8805,Belconnen,1567,67.6,751,32.4,2318,2.28
ACT,102,Fraser,32464,Belconnen FRASER PPVC,9148,60.26,6033,39.74,15181,-1.05
ACT,102,Fraser,65505,BLV Fraser PPVC,24,63.16,14,36.84,38,63.16
ACT,102,Fraser,65695,Bonner,711,60.51,464,39.49,1175,-3.78
ACT,102,Fraser,8802,Braddon,1201,72.83,448,27.17,1649,0.34
ACT,102,Fraser,12073,Bruce,458,60.9,294,39.1,752,-0.17
ACT,102,Fraser,8806,Campbell,924,50.35,911,49.65,1835,1.46
ACT,102,Fraser,8807,Charnwood,1783,64.02,1002,35.98,2785,0.39
ACT,102,Fraser,8808,City,1092,73.83,387,26.17,1479,3.4
ACT,102,Fraser,32465,City FRASER PPVC,5685,65.59,2982,34.41,8667,-1.86
ACT,102,Fraser,8809,Dickson,763,69.87,329,30.13,1092,0.17
ACT,102,Fraser,30093,Divisional Office (PREPOLL),2194,68.99,986,31.01,3180,1
ACT,102,Fraser,8810,Downer,832,73.24,304,26.76,1136,2.23
ACT,102,Fraser,8812,Evatt,1498,64.79,814,35.21,2312,0.55
ACT,102,Fraser,8813,Evatt South,743,61.66,462,38.34,1205,-4.35
ACT,102,Fraser,8814,Florey,1058,62.38,638,37.62,1696,-1
ACT,102,Fraser,65493,Forde,597,49.63,606,50.37,1203,-6.46
ACT,102,Fraser,34238,Fraser Central,1745,63.2,1016,36.8,2761,0.74
ACT,102,Fraser,8816,Giralang,982,65.03,528,34.97,1510,1.23
ACT,102,Fraser,34240,Gungahlin,1254,55.54,1004,44.46,2258,0.51
ACT,102,Fraser,38504,Gungahlin PPVC,4493,50.36,4429,49.64,8922,-2.08
ACT,102,Fraser,8819,Hall,129,50.19,128,49.81,257,-1.51
ACT,102,Fraser,47681,Harrison,1285,53.74,1106,46.26,2391,0.41
ACT,102,Fraser,8821,Holt,1752,65.99,903,34.01,2655,0.45
ACT,102,Fraser,8822,Jervis Bay,31,63.27,18,36.73,49,4.34
ACT,102,Fraser,8823,Kaleen,1303,61.55,814,38.45,2117,-2.48
ACT,102,Fraser,8824,Kaleen South,906,61.84,559,38.16,1465,-0.74
ACT,102,Fraser,8825,Latham,1130,63.55,648,36.45,1778,-0.37
ACT,102,Fraser,8826,Lyneham,2066,75.35,676,24.65,2742,-1.43
ACT,102,Fraser,8827,Macgregor,1418,65.65,742,34.35,2160,-1.38
ACT,102,Fraser,8828,Macquarie,1073,70.18,456,29.82,1529,-0.49
ACT,102,Fraser,8830,Melba,1254,63.46,722,36.54,1976,-1.83
ACT,102,Fraser,32463,Ngunnawal,1084,60.02,722,39.98,1806,-3.14
ACT,102,Fraser,34239,Ngunnawal South,679,63.1,397,36.9,1076,-0.38
ACT,102,Fraser,32081,Nicholls,1391,50.47,1365,49.53,2756,-3.15
ACT,102,Fraser,38198,O'Connor,625,66.42,316,33.58,941,-3.42
ACT,102,Fraser,8832,Page,1171,63.37,677,36.63,1848,-1.45
ACT,102,Fraser,31626,Palmerston,1217,59.54,827,40.46,2044,-4.89
ACT,102,Fraser,65743,Parkes (Fraser),746,74.3,258,25.7,1004,10.05
ACT,102,Fraser,8833,Reid,398,65.35,211,34.65,609,3.32
ACT,102,Fraser,8834,Scullin,779,67.21,380,32.79,1159,-2.09
ACT,102,Fraser,32467,Special Hospital Team 1,59,46.83,67,53.17,126,-5.37
ACT,102,Fraser,32468,Special Hospital Team 2,167,51.23,159,48.77,326,-1.15
ACT,102,Fraser,64585,Tuggeranong FRASER PPVC,378,61.07,241,38.93,619,-4.28
ACT,102,Fraser,8836,Turner,1421,77.86,404,22.14,1825,1.23
ACT,102,Fraser,8837,Watson,1994,72.93,740,27.07,2734,-0.26
ACT,102,Fraser,8838,Weetangera,1159,61.29,732,38.71,1891,-2.59
ACT,102,Fraser,64584,Woden FRASER PPVC,1167,62.37,704,37.63,1871,-2.87
ACT,102,Fraser,8839,Wreck Bay,61,98.39,1,1.61,62,11.63
