"","StateAb","DivisionID","DivisionNm","PollingPlaceID","PollingPlace","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","OrdinaryVotes","Swing"
"1","ACT",101,"Canberra",8829,"Barton",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",855,5.99
"2","ACT",101,"Canberra",8829,"Barton",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1171,-5.99
"3","ACT",101,"Canberra",64583,"Belconnen CANBERRA PPVC",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",343,-1.17
"4","ACT",101,"Canberra",64583,"Belconnen CANBERRA PPVC",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",532,1.17
"5","ACT",101,"Canberra",65504,"BLV Canberra PPVC",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",7,35
"6","ACT",101,"Canberra",65504,"BLV Canberra PPVC",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",13,65
"7","ACT",101,"Canberra",11877,"Bonython",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",692,-0.97
"8","ACT",101,"Canberra",11877,"Bonython",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1066,0.97
"9","ACT",101,"Canberra",11452,"Calwell",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",910,2.98
"10","ACT",101,"Canberra",11452,"Calwell",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1229,-2.98
"11","ACT",101,"Canberra",8761,"Chapman",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",1010,2.11
"12","ACT",101,"Canberra",8761,"Chapman",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1352,-2.11
"13","ACT",101,"Canberra",8763,"Chisholm",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",691,0.44
"14","ACT",101,"Canberra",8763,"Chisholm",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",871,-0.44
"15","ACT",101,"Canberra",58708,"City CANBERRA PPVC",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",1576,5.92
"16","ACT",101,"Canberra",58708,"City CANBERRA PPVC",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",2137,-5.92
"17","ACT",101,"Canberra",31298,"Conder",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",1149,-0.66
"18","ACT",101,"Canberra",31298,"Conder",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1638,0.66
"19","ACT",101,"Canberra",8764,"Curtin",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",851,0.22
"20","ACT",101,"Canberra",8764,"Curtin",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1471,-0.22
"21","ACT",101,"Canberra",8766,"Deakin",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",856,5.34
"22","ACT",101,"Canberra",8766,"Deakin",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",598,-5.34
"23","ACT",101,"Canberra",30092,"Divisional Office (PREPOLL)",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",671,0.39
"24","ACT",101,"Canberra",30092,"Divisional Office (PREPOLL)",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",941,-0.39
"25","ACT",101,"Canberra",8767,"Duffy",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",675,2.18
"26","ACT",101,"Canberra",8767,"Duffy",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1125,-2.18
"27","ACT",101,"Canberra",8768,"Fadden",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",961,1.95
"28","ACT",101,"Canberra",8768,"Fadden",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1054,-1.95
"29","ACT",101,"Canberra",8769,"Farrer",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",1050,0.83
"30","ACT",101,"Canberra",8769,"Farrer",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1145,-0.83
"31","ACT",101,"Canberra",8794,"Garran",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",515,4.2
"32","ACT",101,"Canberra",8794,"Garran",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",683,-4.2
"33","ACT",101,"Canberra",8771,"Gilmore",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",831,0.43
"34","ACT",101,"Canberra",8771,"Gilmore",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1074,-0.43
"35","ACT",101,"Canberra",12072,"Gordon",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",1570,2.29
"36","ACT",101,"Canberra",12072,"Gordon",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",2048,-2.29
"37","ACT",101,"Canberra",8772,"Gowrie",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",767,3.32
"38","ACT",101,"Canberra",8772,"Gowrie",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",944,-3.32
"39","ACT",101,"Canberra",8817,"Griffith",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",618,3.18
"40","ACT",101,"Canberra",8817,"Griffith",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",728,-3.18
"41","ACT",101,"Canberra",8773,"Holder",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",713,1.15
"42","ACT",101,"Canberra",8773,"Holder",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1011,-1.15
"43","ACT",101,"Canberra",8774,"Hughes",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",707,-2.12
"44","ACT",101,"Canberra",8774,"Hughes",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1086,2.12
"45","ACT",101,"Canberra",8884,"Isabella Plains",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",844,1.55
"46","ACT",101,"Canberra",8884,"Isabella Plains",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party",1282,-1.55
"47","ACT",101,"Canberra",8776,"Kambah North",24857,"SEFTON","Tom",1,"N","N","LP","Liberal",380,0.21
