"","DivisionID","DivisionNm","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","State","Total_Australian_Labor_Party_Votes_per_electorate","Average_Australian_Labor_Party_Percentage_in_electorate","Total_Liberal_National_Coalition_Votes_per_electorate","Average_Liberal_National_Coalition_Percentage_in_electorate","Total_2pp_votes_per_electorate"
"1",101,"Canberra",24122,"BRODTMANN","Gai",5,"Y","Y","ALP","Australian Labor Party","ACT",59154,55.3688461538462,44272,40.785,103426
"2",102,"Fraser",24147,"LEIGH","Andrew",3,"Y","Y","ALP","Australian Labor Party","ACT",70470,64.1264150943396,41621,35.8735849056604,112091
"3",103,"Banks",23182,"COLEMAN","David",8,"Y","N","LP","Liberal","NSW",33615,48.2036363636364,36394,49.5236363636364,70009
"4",104,"Barton",23183,"VARVARIS","Nickolas",2,"Y","N","LP","Liberal","NSW",33329,48.5523636363636,33260,49.6294545454545,66589
"5",105,"Bennelong",23197,"ALEXANDER","John",6,"Y","Y","LP","Liberal","NSW",30863,41.5821568627451,41977,56.4570588235294,72840
"6",106,"Berowra",23203,"RUDDOCK","Philip",5,"Y","Y","LP","Liberal","NSW",22509,31.4386538461538,50090,66.6382692307692,72599
"7",107,"Blaxland",24623,"CLARE","Jason",4,"Y","Y","ALP","Australian Labor Party","NSW",40920,61.3484782608696,24579,38.6515217391304,65499
"8",108,"Bradfield",23200,"FLETCHER","Paul",5,"Y","Y","LP","Liberal","NSW",21196,29.7501960784314,52075,68.2890196078431,73271
"9",109,"Calare",23245,"COBB","John",1,"Y","Y","NP","The Nationals","NSW",28153,33.3503921568627,54710,66.6497058823529,82863
"10",110,"Charlton",24657,"CONROY","Pat",1,"Y","N","ALP","Australian Labor Party","NSW",44196,60.666875,30086,39.33328125,74282
"11",111,"Chifley",24631,"HUSIC","Ed",2,"Y","Y","ALP","Australian Labor Party","NSW",43448,60.7404545454545,27708,39.2595454545455,71156
"12",112,"Cook",23219,"MORRISON","Scott",6,"Y","Y","LP","Liberal","NSW",26381,34.1465217391304,52975,63.6795652173913,79356
"13",113,"Cowper",23249,"HARTSUYKER","Luke",3,"Y","Y","NP","The Nationals","NSW",29352,38.4565060240964,47341,61.5436144578313,76693
"14",114,"Cunningham",24668,"BIRD","Sharon",5,"Y","Y","ALP","Australian Labor Party","NSW",46739,60.8563157894737,30802,39.1436842105263,77541
"15",115,"Dobell",23243,"McNAMARA","Karen",8,"Y","N","LP","Liberal","NSW",36687,48.72,37334,51.28,74021
"16",117,"Eden-Monaro",23189,"HENDY","Peter",1,"Y","N","LP","Liberal","NSW",37639,48.1388095238095,38299,48.2897619047619,75938
"17",118,"Farrer",23181,"LEY","Sussan",4,"Y","Y","LP","Liberal","NSW",24064,27.7218095238095,47777,70.3734285714286,71841
"18",119,"Fowler",24548,"HAYES","Chris",5,"Y","Y","ALP","Australian Labor Party","NSW",45757,66.3842857142857,21472,33.6157142857143,67229
"19",120,"Gilmore",23190,"SUDMALIS","Ann",5,"Y","N","LP","Liberal","NSW",37577,48.6705970149254,41606,51.329552238806,79183
"20",121,"Grayndler",24610,"ALBANESE","Anthony",6,"Y","Y","ALP","Australian Labor Party","NSW",52473,68.71375,21522,29.5005357142857,73995
"21",122,"Greenway",24644,"ROWLAND","Michelle",5,"Y","Y","ALP","Australian Labor Party","NSW",39564,54.1955319148936,33945,45.8044680851064,73509
"22",124,"Hughes",23198,"KELLY","Craig",5,"Y","Y","LP","Liberal","NSW",29498,40.8497959183673,45954,57.109387755102,75452
