id,ELECT_DIV,STATE,NUMCCDS,ACTUAL,PROJECTED,POPULATION,OVER_18,AREA_SQKM,SORTNAME,long_c,lat_c,x,y,radius
0,Lingiari,NT,335,0,0,100,0,1352034.05,Lingiari,133.370569859106,-19.4805159917116,133.370569859106,-19.4805159917116,0.06690128
1,Solomon,NT,180,0,0,100,0,336.686,Solomon,130.935532658592,-12.4239239660933,130.935532658592,-12.4239239660933,0.06690128
2,Canberra,ACT,283,0,0,100,0,1920.48,Canberra,148.967893914408,-35.5433518706486,148.967893914408,-35.5433518706486,0.06690128
3,Fraser,ACT,270,0,0,100,0,505.246,Fraser,149.155035576969,-35.2484071735325,149.155035576969,-35.2484071735325,0.06690128
4,Brand,WA,243,0,0,100,0,410.53,Brand,115.80219677163,-32.3261686133597,115.80219677163,-32.3261686133597,0.0669012772977368
5,Canning,WA,268,0,0,100,0,6178.04,Canning,116.113387026099,-32.634290875392,116.113387026099,-32.634290875392,0.0669012772977368
6,Cowan,WA,198,0,0,100,0,179.621,Cowan,115.845926879735,-31.7815562947647,115.87083671193,-31.7485124560826,0.0669012772977368
7,Curtin,WA,334,0,0,100,0,104.146,Curtin,115.795654714969,-31.9572828690947,115.770228689738,-31.9908923482156,0.0669012772977368
8,Durack,WA,487,0,0,100,0,1587757.95,Durack,121.430930936278,-22.7825382504171,121.430930936278,-22.7825382504171,0.06690128
9,Forrest,WA,271,0,0,100,0,12781.4,Forrest,115.70595871184,-33.6997647783702,115.70595871184,-33.6997647783702,0.06690128
10,Fremantle,WA,273,0,0,100,0,201.363,Fremantle,115.819235000524,-32.1133470853426,115.772263270952,-32.1613423559032,0.0669012772977368
11,Hasluck,WA,264,0,0,100,0,244.532,Hasluck,116.008238848596,-31.9971392580569,116.056025028044,-32.002904893438,0.0669012772977368
12,Moore,WA,223,0,0,100,0,133.229,Moore,115.75811967774,-31.7388430317435,115.740253656562,-31.7305372037963,0.0669012772977368
13,O'Connor,WA,433,0,0,100,0,908954.11,O'Connor,123.667908084518,-29.6196517669308,123.667908084518,-29.6196517669308,0.06690128
14,Pearce,WA,266,0,0,100,0,14401.4,Pearce,116.299149059881,-31.6553195808311,116.299149059881,-31.6553195808311,0.0669012772977368
15,Perth,WA,292,0,0,100,0,78.4488,Perth,115.90452551567,-31.9098713126764,115.937166711468,-31.8559323017487,0.0669012772977368
16,Stirling,WA,273,0,0,100,0,77.3032,Stirling,115.817691800804,-31.8766344229909,115.79061940919,-31.8586526333925,0.0669012772977368
17,Swan,WA,325,0,0,100,0,126.305,Swan,115.920691024936,-31.9864430815532,115.927627564469,-31.9792134971214,0.0669012772977368
18,Tangney,WA,235,0,0,100,0,96.2293,Tangney,115.869446060541,-32.0532580171568,115.874508481163,-32.0863876836814,0.0669012772977368
19,Bass,TAS,208,0,0,100,0,7378.75,Bass,147.50808270906,-41.1582835538252,147.50808270906,-41.1582835538252,0.06690128
20,Braddon,TAS,226,0,0,100,0,20826.18,Braddon,145.498522040659,-41.7599533717056,145.498522040659,-41.7599533717056,0.06690128
21,Denison,TAS,197,0,0,100,0,288.718,Denison,147.243945432244,-42.8883560639033,147.243945432244,-42.8883560639033,0.06690128
22,Franklin,TAS,179,0,0,100,0,6514.21,Franklin,146.627239348314,-43.2430904316186,146.627239348314,-43.2430904316186,0.06690128
23,Lyons,TAS,256,0,0,100,0,32910.62,Lyons,147.052825325694,-42.0595435900506,147.052825325694,-42.0595435900506,0.06690128
24,Banks,NSW,229,0,0,100,0,49.3189,Banks,151.066455330758,-33.9671220198307,151.011391281948,-34.2525291156403,0.110331419086501
25,Barton,NSW,234,0,0,100,0,44.1112,Barton,151.128847808078,-33.9564807401564,151.228958625586,-34.1786322898873,0.110331419086501
26,Bennelong,NSW,238,0,0,100,0,58.3775,Bennelong,151.098573126251,-33.7934325885982,151.116252298369,-33.6023724327441,0.110331419086501
27,Berowra,NSW,193,0,0,100,0,782.366,Berowra,151.047084081414,-33.5683689332281,151.049386382908,-33.3171611154939,0.110331419086501
28,Blaxland,NSW,212,0,0,100,0,62.1464,Blaxland,150.999692494471,-33.8883209836922,150.870611103284,-33.9256747907961,0.110331419086501
29,Bradfield,NSW,210,0,0,100,0,99.0623,Bradfield,151.146358870108,-33.7320152055146,151.247937891862,-33.4269249329509,0.110331419086501
30,Calare,NSW,316,0,0,100,0,30526.27,Calare,148.92150482638,-33.3056724153491,148.92150482638,-33.3056724153491,0.06690128
31,Charlton,NSW,211,0,0,100,0,688.118,Charlton,151.525249179396,-33.0366774920106,151.485905023714,-33.0040657578545,0.110331419086501
32,Chifley,NSW,216,0,0,100,0,135.025,Chifley,150.838499703316,-33.7346013031407,150.545858691433,-33.5899789540167,0.110331419086501
33,Cook,NSW,241,0,0,100,0,100.073,Cook,151.130042214812,-34.0313633644697,151.181344463748,-34.3936197154121,0.110331419086501
34,Cowper,NSW,256,0,0,100,0,7860.65,Cowper,152.8694778842,-30.3841933746153,152.8694778842,-30.3841933746153,0.06690128
35,Cunningham,NSW,252,0,0,100,0,721.1,Cunningham,150.916349224206,-34.2590510225766,150.973798927702,-34.4688955934079,0.110331419086501
36,Dobell,NSW,236,0,0,100,0,774.704,Dobell,151.366482610518,-33.2479228980855,151.451239420846,-33.2222294362803,0.110331419086501
37,Eden-Monaro,NSW,308,0,0,100,0,29499.32,Eden-Monaro,149.344313708683,-36.2918432160684,149.344313708683,-36.2918432160684,0.06690128
38,Farrer,NSW,349,0,0,100,0,247096.51,Farrer,143.310794215256,-32.5012132290804,143.310794215256,-32.5012132290804,0.06690128
39,Fowler,NSW,191,0,0,100,0,69.3533,Fowler,150.877321387447,-33.8997417639847,150.605322000051,-33.9594876676713,0.110331419086501
40,Gilmore,NSW,262,0,0,100,0,4877.78,Gilmore,150.398333056935,-35.0672397076965,150.398333056935,-35.0672397076965,0.06690128
41,Grayndler,NSW,289,0,0,100,0,32.3086,Grayndler,151.148069104629,-33.8974858135258,151.266064649863,-33.962215524915,0.110331419086501
42,Greenway,NSW,194,0,0,100,0,84.0739,Greenway,150.913282736932,-33.7334258743293,150.714066429781,-33.4465739813168,0.110331419086501
43,Hughes,NSW,197,0,0,100,0,178.296,Hughes,150.97521282562,-33.992132882777,150.803731772171,-34.3296800056617,0.110331419086501
44,Hume,NSW,313,0,0,100,0,33636.84,Hume,149.044825552803,-34.4092276252371,149.044825552803,-34.4092276252371,0.06690128
45,Hunter,NSW,252,0,0,100,0,20110.63,Hunter,150.778042458342,-32.3748287250797,150.778042458342,-32.3748287250797,0.110331419086501
46,Kingsford Smith,NSW,274,0,0,100,0,126.967,Kingsford Smith,151.210535140672,-33.9589257589022,151.449040406279,-34.193352483352,0.110331419086501
47,Lindsay,NSW,213,0,0,100,0,339.058,Lindsay,150.710653161645,-33.7506322345292,150.461133284624,-33.7924229355342,0.110331419086501
48,Lyne,NSW,240,0,0,100,0,11991.2,Lyne,152.277408709202,-31.6021392904893,152.277408709202,-31.6021392904893,0.06690128
49,Macarthur,NSW,182,0,0,100,0,798.087,Macarthur,150.763514238192,-34.0646784496165,150.559945649917,-34.1976179768043,0.110331419086501
50,Mackellar,NSW,234,0,0,100,0,233.359,Mackellar,151.252517879282,-33.6691049030826,151.456451460679,-33.498752381788,0.110331419086501
51,Macquarie,NSW,248,0,0,100,0,4374,Macquarie,150.64163355052,-33.4750686299391,150.51577315175,-33.3500023410357,0.110331419086501
52,McMahon,NSW,192,0,0,100,0,160.556,McMahon,150.858616528122,-33.8370931022651,150.69141297104,-33.7563014207954,0.110331419086501
53,Mitchell,NSW,166,0,0,100,0,101.194,Mitchell,150.959792926635,-33.7099742137506,150.923316535802,-33.4955227902582,0.110331419086501
54,New England,NSW,367,0,0,100,0,59344.26,New England,151.315329532516,-30.3194247953617,151.315329532516,-30.3194247953617,0.06690128
55,Newcastle,NSW,264,0,0,100,0,354.435,Newcastle,151.753252341729,-32.8410141686529,151.753252341729,-32.8410141686529,0.110331419086501
56,North Sydney,NSW,273,0,0,100,0,47.7005,North Sydney,151.184028606897,-33.8163353656424,151.315942314446,-33.6912827596775,0.110331419086501
57,Page,NSW,281,0,0,100,0,16142.94,Page,152.803448214045,-29.2748481983547,152.803448214045,-29.2748481983547,0.06690128
58,Parkes,NSW,462,0,0,100,0,256643.17,Parkes,147.372784406271,-30.8871855908825,147.372784406271,-30.8871855908825,0.06690128
59,Parramatta,NSW,237,0,0,100,0,55.8604,Parramatta,151.010656403324,-33.8088532059154,150.907164251727,-33.7101953904721,0.110331419086501
60,Paterson,NSW,243,0,0,100,0,6652.01,Paterson,151.91743329349,-32.4068079544721,151.91743329349,-32.4068079544721,0.110331419086501
61,Reid,NSW,241,0,0,100,0,65.8119,Reid,151.084239854809,-33.8527971768148,151.098342904938,-33.821860331559,0.110331419086501
62,Richmond,NSW,245,0,0,100,0,2768.26,Richmond,153.36329015981,-28.5112593142775,153.359413528574,-28.5311280255068,0.132465744648129
63,Riverina,NSW,334,0,0,100,0,61435.48,Riverina,146.700152181571,-34.4272031934303,146.700152181571,-34.4272031934303,0.06690128
64,Robertson,NSW,257,0,0,100,0,978.219,Robertson,151.212516633566,-33.3821973005823,151.232489057666,-33.2007909709548,0.110331419086501
65,Shortland,NSW,219,0,0,100,0,205.02,Shortland,151.616626878684,-33.1121941272293,151.656698747971,-33.1444533017547,0.110331419086501
66,Sydney,NSW,310,0,0,100,0,91.2251,Sydney,151.215711681512,-33.8663541929927,151.460590939396,-33.858267593017,0.110331419086501
67,Throsby,NSW,224,0,0,100,0,1422.38,Throsby,150.552253067339,-34.5338463509922,150.552253067339,-34.5338463509922,0.06690128
