"ELECT_DIV","STATE","NUMCCDS","ACTUAL","PROJECTED","POPULATION","OVER_18","AREA_SQKM","SORTNAME"
"Lingiari","NT",335,0,0,0,0,1352034.05,"Lingiari"
"Solomon","NT",180,0,0,0,0,336.686,"Solomon"
"Canberra","ACT",283,0,0,0,0,1920.48,"Canberra"
"Fraser","ACT",270,0,0,0,0,505.246,"Fraser"
"Brand","WA",243,0,0,0,0,410.53,"Brand"
"Canning","WA",268,0,0,0,0,6178.04,"Canning"
"Cowan","WA",198,0,0,0,0,179.621,"Cowan"
"Curtin","WA",334,0,0,0,0,104.146,"Curtin"
"Durack","WA",487,0,0,0,0,1587757.95,"Durack"
"Forrest","WA",271,0,0,0,0,12781.4,"Forrest"
"Fremantle","WA",273,0,0,0,0,201.363,"Fremantle"
"Hasluck","WA",264,0,0,0,0,244.532,"Hasluck"
"Moore","WA",223,0,0,0,0,133.229,"Moore"
"O'Connor","WA",433,0,0,0,0,908954.11,"O'Connor"
"Pearce","WA",266,0,0,0,0,14401.4,"Pearce"
"Perth","WA",292,0,0,0,0,78.4488,"Perth"
"Stirling","WA",273,0,0,0,0,77.3032,"Stirling"
"Swan","WA",325,0,0,0,0,126.305,"Swan"
"Tangney","WA",235,0,0,0,0,96.2293,"Tangney"
"Bass","TAS",208,0,0,0,0,7378.75,"Bass"
"Braddon","TAS",226,0,0,0,0,20826.18,"Braddon"
"Denison","TAS",197,0,0,0,0,288.718,"Denison"
"Franklin","TAS",179,0,0,0,0,6514.21,"Franklin"
"Lyons","TAS",256,0,0,0,0,32910.62,"Lyons"
"Banks","NSW",229,0,0,0,0,49.3189,"Banks"
"Barton","NSW",234,0,0,0,0,44.1112,"Barton"
"Bennelong","NSW",238,0,0,0,0,58.3775,"Bennelong"
"Berowra","NSW",193,0,0,0,0,782.366,"Berowra"
"Blaxland","NSW",212,0,0,0,0,62.1464,"Blaxland"
"Bradfield","NSW",210,0,0,0,0,99.0623,"Bradfield"
"Calare","NSW",316,0,0,0,0,30526.27,"Calare"
"Charlton","NSW",211,0,0,0,0,688.118,"Charlton"
"Chifley","NSW",216,0,0,0,0,135.025,"Chifley"
"Cook","NSW",241,0,0,0,0,100.073,"Cook"
"Cowper","NSW",256,0,0,0,0,7860.65,"Cowper"
"Cunningham","NSW",252,0,0,0,0,721.1,"Cunningham"
"Dobell","NSW",236,0,0,0,0,774.704,"Dobell"
"Eden-Monaro","NSW",308,0,0,0,0,29499.32,"Eden-Monaro"
"Farrer","NSW",349,0,0,0,0,247096.51,"Farrer"
"Fowler","NSW",191,0,0,0,0,69.3533,"Fowler"
"Gilmore","NSW",262,0,0,0,0,4877.78,"Gilmore"
"Grayndler","NSW",289,0,0,0,0,32.3086,"Grayndler"
"Greenway","NSW",194,0,0,0,0,84.0739,"Greenway"
"Hughes","NSW",197,0,0,0,0,178.296,"Hughes"
"Hume","NSW",313,0,0,0,0,33636.84,"Hume"
"Hunter","NSW",252,0,0,0,0,20110.63,"Hunter"
"Kingsford Smith","NSW",274,0,0,0,0,126.967,"Kingsford Smith"
"Lindsay","NSW",213,0,0,0,0,339.058,"Lindsay"
"Lyne","NSW",240,0,0,0,0,11991.2,"Lyne"
"Macarthur","NSW",182,0,0,0,0,798.087,"Macarthur"
"Mackellar","NSW",234,0,0,0,0,233.359,"Mackellar"
"Macquarie","NSW",248,0,0,0,0,4374,"Macquarie"
