"DIV_NUMBER","ELECT_DIV","NUMCCDS","ACTUAL","PROJECTED","POPULATION","OVER_18","AREA_SQKM","SORTNAME"
1,"Blair",233,0,0,0,0,6409.2711298741,"BLAIR"
2,"Bonner",216,0,0,0,0,360.06063912784,"BONNER"
3,"Bowman",199,0,0,0,0,537.11301656396,"BOWMAN"
4,"Brisbane",305,0,0,0,0,58.228803914026,"BRISBANE"
5,"Capricornia",302,0,0,0,0,91048.925265768,"CAPRICORNIA"
6,"Dawson",291,0,0,0,0,14945.358747786,"DAWSON"
7,"Dickson",192,0,0,0,0,722.47567017579,"DICKSON"
8,"Fadden",214,0,0,0,0,395.44319408586,"FADDEN"
9,"Fairfax",232,0,0,0,0,1035.9493008089,"FAIRFAX"
10,"Fisher",220,0,0,0,0,1169.8787815141,"FISHER"
11,"Flynn",342,0,0,0,0,133063.42867009,"FLYNN"
12,"Forde",184,0,0,0,0,418.56634342987,"FORDE"
13,"Griffith",279,0,0,0,0,59.768160819849,"GRIFFITH"
14,"Groom",251,0,0,0,0,5594.4026293911,"GROOM"
15,"Herbert",242,0,0,0,0,945.70393163547,"HERBERT"
16,"Hinkler",239,0,0,0,0,3503.9169723879,"HINKLER"
17,"Kennedy",410,0,0,0,0,568992.52203242,"KENNEDY"
18,"Leichhardt",332,0,0,0,0,148988.08138836,"LEICHHARDT"
19,"Lilley",254,0,0,0,0,147.28546302464,"LILLEY"
20,"Longman",192,0,0,0,0,1239.3042666635,"LONGMAN"
21,"Maranoa",428,0,0,0,0,731297.27092133,"MARANOA"
22,"Mcpherson",237,0,0,0,0,229.73192808491,"MCPHERSON"
23,"Moncrieff",291,0,0,0,0,92.325688777877,"MONCRIEFF"
24,"Moreton",237,0,0,0,0,110.87129065063,"MORETON"
25,"Oxley",193,0,0,0,0,155.34901227503,"OXLEY"
26,"Petrie",198,0,0,0,0,152.01873249258,"PETRIE"
27,"Rankin",225,0,0,0,0,131.15020295877,"RANKIN"
28,"Ryan",244,0,0,0,0,440.95571200184,"RYAN"
29,"Wide Bay",310,0,0,0,0,14572.61554299,"WIDE BAY"
30,"Wright",250,0,0,0,0,7589.0995594075,"Wright"
