           x0         y0         x1         y1
  -71.122320 -12.858762 -75.089577  30.428229
  -75.089577  30.428229 -50.722359  55.580469
  -50.722359  55.580469 -45.722359  50.580469
  -45.722359  50.580469 -43.996850  64.662799
  -43.996850  64.662799 -31.110503  64.662799
  -31.110503  64.662799 -32.110503  47.901046
  -32.110503  47.901046 -17.600000  32.200000
  -17.600000  32.200000 -11.802046  72.691776
  -11.802046  72.691776  -6.193801  45.019408
  -6.193801  45.019408   3.682071  18.230410
3.682071  18.230410  3.682071  8.230410 
   3.682071  8.230410  1 -20.698240
  1 -20.698240  -10.415260 -29.680330
  -10.415260 -29.680330 -26.488087 -24.182886
 -26.488087 -24.182886 -44.936515  -3.397139
 -44.936515  -3.397139 -71.122320 -12.858762
 -13.371461 -45.100907  -9.245709 -45.113153
  -9.245709 -45.113153  -8.538224 -36.745115
  -8.538224 -36.745115 -14.505467 -37.288860
 -14.505467 -37.288860 -13.371461 -45.100907
